%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm],,,,,,
101763.683,302.241,1.173,0.082,0.004,-0.16,-2.054,-1.003,0.963,1.359,0,-1.764,-1.922,-1.819,0.224,0,1.69,-2.124,2.303,0.523,0.104,-0.338,-3.092,-0.063,-0.258,0,535.448,336.52,,,,,,
101763.683,302.241,1.173,0,-0.075,-0.32,-3.134,-1.449,1.392,1.464,0.541,-1.557,-1.068,-2.247,0,0.104,1.69,-2.549,2.722,0.733,0.208,0.113,-3.103,-0.044,-0.238,0.001,535.448,336.52,,,,,,
101763.683,302.238,1.173,0,-0.075,-0.32,-2.054,-1.895,0.749,1.673,0.216,-1.868,-1.388,-1.284,-0.112,-0.104,1.902,-2.443,2.617,0.942,0.519,-0.563,-3.082,-0.025,-0.238,0.001,535.448,336.52,,,,,,
101755.62,302.236,1.173,0,-0.233,-0.32,-1.837,-1.115,0.535,1.673,0.757,-1.661,-1.708,-1.177,0.336,-0.417,1.796,-2.124,2.094,1.047,0.208,0.113,-3.103,-0.044,-0.238,0.001,535.448,336.52,,,,,,
101747.557,302.236,1.173,0,-0.154,-0.48,-2.486,-0.892,1.713,0.941,0.541,-1.245,-1.175,-1.712,0,0.522,1.796,-2.018,2.827,0.419,0.623,-0.45,-3.113,-0.083,-0.248,0.001,535.448,336.52,,,,,,
101759.651,302.239,1.173,0,-0.233,-0.32,-2.054,-0.892,1.284,2.091,0,-1.142,-1.281,-1.712,0.559,0.626,2.219,-2.124,2.303,1.047,0.311,0.564,-3.103,-0.044,-0.248,0.001,535.448,336.52,,,,,,
101755.62,302.234,1.173,0,-0.47,0,-1.837,-1.337,0.963,1.882,1.081,-1.661,-1.175,-1.498,-0.446,0.731,2.324,-2.018,2.513,0.942,0.727,-0.563,-3.113,-0.063,-0.238,0,535.448,336.52,,,,,,
101751.588,302.234,1.173,0,-0.154,-0.32,-1.729,-1.003,0.749,1.464,0.324,-1.453,-2.029,-1.712,0,-0.313,1.479,-2.549,2.199,0.837,0,-0.113,-3.134,-0.063,-0.258,0.001,535.448,336.52,,,,,,
101739.494,302.238,1.173,0,-0.154,0.16,-3.026,-1.226,0.749,1.568,0.865,-1.453,-1.068,-2.14,-0.335,0.209,1.162,-2.018,2.617,0.523,0.831,-0.45,-3.134,-0.006,-0.248,0,535.448,336.52,,,,,,
101755.62,302.239,1.173,0.082,0.004,0.32,-1.837,-1.226,0.535,1.673,0.865,-2.595,-1.388,-1.819,0,-0.521,1.902,-2.124,2.199,0.628,0.311,-0.675,-1.041,-0.044,-0.096,0,535.448,336.52,,,,,,
